Date,Total,Axis
20/9/NaN,"R$: 9988,68","12912,62"
23/9/NaN,"R$: 10172,60","12912,62"
27/9/NaN,"R$: 9677,98","12912,62"
29/9/NaN,"R$: 9829,21","12912,62"
1/10/(NaN),"R$: 10358,78","12912,62"
6/10/(NaN),"R$: 10398,00","12912,62"
11/10/(NaN),"R$: 10669,66","12912,62"
13/10/NaN,"R$:10635,26","12912,62"
18/10/NaN,"R$: 12912,62","12912,62"
20/10/NaN,"R$: 10915,60","12912,62"
25/10/NaN,"R$: 11116,52","12912,62"
27/10/NaN,"R$: 10427,42","12912,62"
2/11/(NaN),"R$: 11091,50","12912,62"
3/11/(NaN),"R$: 11168,88","12912,62"
